character,keyword
丨,walking stick
丶,a drop of
儿,human legs
几,wind
勹,bound up
畐,wealth
厂,cliff
冂,hood
宀,house
艹,flower
夂,walking legs
冖,crown
亠,top hat
聿,brush
攵,taskmaster
弋,arrow
戈,fiesta
戊,parade
戌,march
廴,stretch
冫,ice
喬,angel
啇,antique
竟,mirror
壬,porter
豕,sow
昜,piggy bank
隹,turkey
囗,pent in
广,cave
扌,fingers
开,two hands
殳,missile
圣,spool
厶,elbow
歹,bone
舛,sunglasses
禾,wheat
从,assembly line
尸,flag
乍,saw
ヨ,broom
尹,mop
凵,shovel
卉,haystack
尭,straw man
弗,dollar sign
丂,snare
𠂤,maestro
咼,jawbone
阝,pinnacle
幺,cocoon
卩,stamp
壴,drum
艮,silver
辟,ketchup
丩,cornucopia
㐮,grass skirt
韋,locket
于,potato
疒,sickness
匚,box
癶,teepee
彡,shape
冓,funnel
甫,dog tag
阝,city walls
釆,animal tracks
关,golden calf
其,bushel basket
